episode,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
0,-3590.774282689577,-3475.6055757581285,-3482.246844283316,-3488.4782898068897,-3584.862428625907,-3524.393484232763,51.97961928062035
1,-3730.29876614297,-3029.5790852006853,-3673.019120660278,-3782.010568036808,-3630.446551516896,-3569.0708183115275,274.57652793260655
2,-3485.527169739111,-3311.929327565561,-3319.2496336212917,-3633.5121147520877,-3767.001420236968,-3503.4439331830035,177.3734339787261
3,-3591.2087438825774,-3288.4467537782843,-3176.4916614470503,-3518.108836320564,-3590.7323080013502,-3432.997660685965,169.61436870810505
4,-2883.432330041098,-3151.3753193914745,-2743.334681256043,-3262.726310340624,-2586.112552464963,-2925.3962386988405,250.94976478065067
5,-2929.0555607651854,-3085.655635852007,-3234.496874489205,-3173.1887650093527,-3332.457960935737,-3150.9709594102974,137.05493551524827
6,-3382.7251570456588,-3132.610512625233,-3187.3416524888125,-3323.98397853266,-3270.3986785102466,-3259.4119958405217,90.29854307541576
7,-3387.2291726712083,-3472.6964671580567,-3120.10095535557,-3223.7110975293704,-3121.396602382614,-3265.026859019364,142.40802781314392
8,-3125.58807361823,-3073.708690688478,-3025.3179996358367,-3420.5064987814408,-2867.05553705661,-3102.435359956119,181.04213173830107
9,-3180.811623992677,-3225.731334006656,-3383.396257312466,-2816.4693957840855,-3324.1937072380915,-3186.1204636667953,198.10152758796292
10,-3273.697965053385,-2816.1095159692036,-2771.9260005943966,-3317.622530716472,-3170.657554993023,-3070.0027134652955,230.7597057671563
11,-3728.7567912699546,-3069.1060550957495,-3571.7749335715544,-3018.690321015757,-3173.339458683366,-3312.3335119272765,284.7537409783817
12,-3327.6395813121744,-2918.5696544231764,-3577.8315782821956,-3371.0185201856593,-3532.043887200035,-3345.4206442806476,233.24504797944186
13,-3133.9125662053457,-3370.7156339343614,-3170.304618512915,-3174.2682713614713,-2770.4369297157864,-3123.9276039459755,195.2663300523482
14,-3277.386838617871,-3064.082007884773,-3712.1596194734566,-3522.132402271152,-2864.706872644658,-3288.0935481783818,304.6828839572462
15,-3068.0632240501545,-3579.305674500157,-3463.788291400182,-2914.5803370470085,-3326.8057196414243,-3270.5086493277854,246.3944385004344
16,-3215.695275439805,-2973.763356628249,-3387.1695468696244,-3017.342116640758,-3324.7437902576107,-3183.742817167209,163.746899417026
17,-2865.178493927343,-3020.8023461579055,-3038.989669874696,-2914.6192388884083,-2827.483926806484,-2933.4147351309675,83.68208034223306
18,-3379.38510621303,-3270.026295709927,-3372.1611803039264,-2969.74678879163,-3276.4541877836336,-3253.554711760429,149.15992676872918
19,-3072.2202967417666,-3023.568526496648,-3227.2949242389936,-2817.381258023085,-3487.965471743503,-3125.6860954487993,223.56617046269267
20,-3123.465919129264,-3272.824014937804,-3385.734420326774,-3230.037259252682,-3116.9310110145316,-3225.798524932211,100.13286374772642
21,-3623.1332106861305,-3024.652756803611,-3050.86556331538,-3171.8703581443624,-3428.861748575564,-3259.8767275050095,231.20221197722623
22,-3020.8090368439975,-3019.2860872627434,-3001.9090344102387,-2869.4879831364287,-2668.683209604125,-2916.035070251507,135.91340522136494
23,-2817.322065077414,-3079.5239207632526,-3571.4503922216413,-3114.9906482628007,-3388.298583964894,-3194.3171220580007,261.32499020335956
24,-3477.4911634999003,-3524.1082985957223,-3016.949571809059,-3275.937525543518,-3176.1951710960334,-3294.1363461088467,188.45684581422137
25,-3277.692692721151,-3325.8622300368756,-3427.4128539891167,-3373.2053212121405,-3372.071468297258,-3355.2489132513087,50.38176213910655
26,-3322.389231068593,-3425.3225237793326,-3278.1724749822374,-3162.737780730949,-3061.555966320673,-3250.035595376357,126.4102202131004
27,-3675.387892212644,-3728.2939565526954,-3477.982826018216,-3275.462064189095,-3083.691669390297,-3448.16368167259,242.34631853939055
