episode,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
0,-2979.2115392503415,-2820.596148244524,-3089.393384162278,-2820.4842718056066,-3042.697765923571,-2950.4766218772643,111.70966854987577
1,-1792.2675302640243,-1957.604746265226,-1961.9579924860018,-1421.84265498004,-1852.1542706786825,-1797.165438934795,198.39975318737083
2,-1529.823597241791,-1313.1079943744953,-1199.6961792212467,-1200.9642143456617,-1362.480514099692,-1321.2144998565775,122.07635994737498
3,-349.47148028372663,-555.6352457596305,-773.8488950707189,-609.8382849416594,-772.4200832994042,-612.242797871028,157.50063835067965
4,-242.78528746697017,-612.2298545845081,-614.1432900576027,-231.0118498693653,-608.9345132026652,-461.8209590362223,183.69365612427472
5,-136.54500115958692,-239.92250413607655,-346.9194888763455,-180.31295942727016,-187.48289120431502,-218.23656896071884,72.23167555558786
6,-189.75862315502968,-184.8065919501516,-135.72058545482648,-132.2332118351845,-128.93608210810723,-154.29101890065994,27.06817991938749
7,-236.1650756073427,-288.5518917357865,-79.62222638952106,-78.56948482572062,-182.7171120131546,-173.1251581143051,83.75313869203735
8,-25.878706519103737,-184.69909917875555,-76.146908840099,-79.74949554042969,-131.05388165568579,-99.50561834681476,54.055671187237614
9,-79.51600505938755,-134.06610265841763,-79.39465850496555,-28.664068238908875,-24.350750682102845,-69.19831702875649,40.18103834016071
10,-79.53792253502495,-76.64830010621927,-20.357435859285953,-25.793451080115076,-23.977400410936642,-45.26290199831637,26.87837267272085
11,-80.04711274323535,-23.18821315749153,-129.64782291855357,-24.823892479220977,-76.54582632933615,-66.85057352556751,39.70965811552749
12,-80.5844477406387,-26.69411807810949,-22.48890470148579,-132.4214244070955,-23.709396872725243,-57.17965836001093,43.50214358750369
13,-76.26988714151842,-23.98885378704594,-23.709503432325537,-22.761940745394,-74.42301768055485,-44.23064055736775,25.41592032646217
14,-76.82261946355048,-73.17965678449418,-77.45445392196208,-24.831133659503976,-80.04993210201259,-66.46755918630467,20.933533710845904
15,-21.902498304639785,-129.99194640336555,-23.220892663822465,-23.38895821690038,-76.5138181818883,-55.0036227541233,42.874819128897556
16,-20.166497548602937,-21.498097059253514,-24.49861868876046,-74.42340884439307,-23.970480330836345,-32.91142049436927,20.816617567361543
17,-20.817960883372535,-19.56477999252342,-23.530081897404067,-73.81816778417735,-180.9524478791947,-63.73668768733442,62.04984507203482
18,-23.4329318758127,-77.89077818624595,-72.39774540704194,-75.03639601337004,-21.475560551970844,-54.046682406888294,25.86097521177315
19,-133.79491927906574,-21.001702893683614,-27.509056372686306,-24.37184717542542,-132.2596528828998,-67.78743572075217,53.31007529410141
20,-24.57062511394779,-21.213240891412713,-133.0858860183605,-19.136658137860866,-22.251090260689377,-44.05150008445425,44.55158733181265
21,-75.06818676660804,-130.62616390036382,-76.30849897376758,-73.79900137188703,-23.73950354778977,-75.90827091208324,33.825857101491856
22,-25.473078662442084,-73.69832790648071,-76.30997253096547,-20.929645636769134,-75.3363667519769,-54.34947829772686,25.48655506781764
23,-78.58870505205729,-25.16156378792795,-24.945998887961625,-71.58254545945601,-24.93880962701558,-45.04352456288369,24.62925589360541
24,-82.88948190306448,-21.899984328102775,-25.248664700953473,-180.63192852418956,-131.19234292990217,-88.37248047724249,61.28395958195379
25,-25.006667151345056,-24.847582578970087,-79.60515849217728,-73.8746008092129,-22.097444298251066,-45.08629066599128,25.929144527905923
26,-28.018945312188478,-23.735872435024458,-26.048798370722835,-21.832535958325046,-25.618978718693405,-25.051026158990844,2.1078411745641095
27,-80.4987121990586,-77.83400544025716,-79.40618117415696,-73.37533780371031,-184.33157377747324,-99.08916207893125,42.69022314022031
28,-75.02274586365024,-75.8667726496981,-72.7193188196702,-78.7060578529564,-72.40187623764733,-74.94335428472445,2.2987991236971714
29,-75.12060767089567,-73.02299420532661,-79.26574412749282,-20.92750893048407,-125.5382147093142,-74.77501392870268,33.165681099262606
30,-20.30606343460271,-24.966715466122487,-26.34441276587382,-22.05450299592653,-21.01036575706605,-22.93641208391832,2.3299250022959503
31,-23.123322464677443,-21.678231690334513,-81.61568537604545,-76.35307076196887,-71.95351912932566,-54.94476588447039,26.75151476012928
32,-73.94799968547201,-20.767096918154465,-21.458519804799234,-72.37494130596122,-77.34495464531332,-53.17870247194005,26.23184781609882
33,-22.086951486869882,-75.20426728488206,-22.114110620828228,-19.28395395228452,-22.516446081764133,-32.241145885325764,21.512568031651092
34,-77.09374279556002,-71.45488387409884,-20.502730406509958,-18.82795127022568,-126.82273724153718,-62.94040911758633,40.25079003655752
35,-78.90718159283026,-76.02218163084508,-24.989951335721216,-78.03169358765992,-77.62885885662008,-67.11597340073531,21.083778496736507
36,-21.72206794821755,-18.892676092207914,-26.383159615297387,-21.897063499145627,-75.2857934005757,-32.836152111088836,21.359869885770784
37,-74.04205550612977,-75.295042359587,-27.8350546839808,-22.284665316566777,-77.84208851433549,-55.45978127611996,24.913530513898284
38,-79.26000809296555,-22.75729542225714,-21.511868683445947,-21.147512069034303,-77.82613480595316,-44.50056381473122,27.804415111583232
39,-21.62692042242812,-19.48216650696824,-28.000429104348598,-73.92208508612244,-21.718969077563273,-32.95011403948613,20.68304007629098
40,-70.37329603900824,-22.17034086118198,-24.12085336801089,-19.878588010534514,-24.47955935661359,-32.20452752706984,19.154579075894667
41,-23.793538860990836,-75.10276642572,-77.21451697452345,-19.06026575360431,-78.2022886862209,-54.6746753402119,27.20636218426817
42,-24.596716700266334,-19.319359784099728,-78.33811398884585,-73.56506124983656,-78.58864581765205,-54.8815795081401,26.993150537990562
43,-21.649854792625863,-74.44507034513934,-21.295083066254964,-76.33569671026439,-76.10788093368362,-53.96671716959363,26.53970834872116
44,-78.41225065436085,-73.61825835201152,-23.539122541346988,-21.450271681925948,-24.898641933652577,-44.38370903265958,25.89481683029296
45,-80.16574006924749,-22.347445275247313,-74.87443102514756,-22.58083716117241,-23.881145427888054,-44.76991979174056,26.797795937624464
46,-24.67384139156793,-70.91499509167902,-22.02487428306548,-20.425222518892873,-22.007343187925912,-32.00925529462624,19.50067081722368
47,-78.24965341238173,-125.68466258579,-132.45267664542806,-75.0373933503046,-78.46494779417236,-97.97786675761535,25.504512464603053
48,-21.672089882881487,-20.46012857969698,-26.0124599535724,-73.92200813395264,-76.879520856405,-43.7892414813017,25.893551631066135
49,-73.91415767632805,-20.597523604404845,-21.04455277828257,-21.13082659379692,-24.179050291683314,-32.17322218889914,20.909285309338173
50,-25.53986974895994,-21.128316760846804,-83.40875418074106,-19.642095444817713,-25.708127656011186,-35.08543275827534,24.27959131364283
51,-21.514431697325534,-25.31056942522834,-26.797867341366477,-21.5457643568979,-75.68113020513134,-34.16995260518992,20.859273791664243
52,-127.12048048442426,-19.339219438747477,-78.18771424986596,-18.325704293087416,-22.55276357840916,-53.10517640890686,43.33728280006795
53,-80.25443917732493,-21.10786234430985,-129.905235661992,-20.28338244136742,-25.48519804613558,-55.407223534225956,43.526534290398246
54,-75.04879688599283,-77.50103029383604,-26.791629245923463,-19.31979272729973,-21.758351737278126,-44.08392017806604,26.40546601865064
55,-27.614886700726302,-130.77318052719951,-26.670122000098406,-20.608891940624325,-21.470171598293035,-45.42745055338832,42.76197024640322
56,-73.98758472620055,-21.917972441841336,-132.02364994854673,-77.11324214378695,-21.83637826929517,-65.37576550593414,41.080726156498365
57,-23.211111236026802,-24.761761134781306,-25.084930550113835,-75.95205167421113,-24.063515298415222,-34.61467397870966,20.678698647586668
58,-74.21701835729803,-76.14933806234609,-25.725046299154975,-20.658548303011717,-73.26230791054087,-54.00245178647033,25.224919789331945
59,-75.2950939512716,-127.32456938158435,-81.93639910021973,-76.81426176554467,-80.18644332443921,-88.3113535046119,19.648365598052468
60,-79.56581794981261,-75.09452424283057,-78.65762614694319,-72.47106067992011,-26.05328703060052,-66.3684632100214,20.316953340615672
61,-22.756549268735284,-19.639915764911237,-24.346911173668314,-18.650094559666314,-20.406980954677323,-21.160090344331696,2.0920177551512955
62,-23.77230283821868,-76.44288549553666,-25.45433329348402,-74.8043072156744,-22.93537928141787,-44.68184162486632,25.282172985654462
63,-20.513518605494543,-23.70307048015139,-22.47410009091798,-23.134619762091162,-76.13423394407174,-33.191908576545366,21.49810878044881
64,-127.57486451491728,-22.112569304508927,-77.59908397987925,-76.59816129099153,-25.404616786417932,-65.857859175343,39.0187503725876
65,-77.23684040135919,-21.265886651485705,-25.685298222086146,-21.529696324937063,-77.62139968813074,-44.66782425759977,26.795667145513768
66,-24.590427666305505,-75.15076649541422,-23.29329613762411,-15.868064113768238,-23.105622153287953,-32.40163531328,21.59277592876993
67,-128.50022633479918,-17.375272476357875,-26.43128574106453,-20.712759617454967,-76.33731647157308,-53.871372128249924,43.03162035015125
68,-22.654861932971475,-18.803193087839873,-77.11042341816699,-73.56954972070524,-21.133361300893835,-42.65427789211548,26.73941185861037
69,-25.214719027249693,-18.839316999339932,-76.43273870710641,-76.96513735354846,-73.05260029236426,-54.10090247592175,26.2999695842946
70,-183.11696714062532,-23.62550547056647,-23.498138805972474,-21.358248124714486,-22.738947325195902,-54.86756137341494,64.12977268625393
71,-22.158207016981656,-179.8065603945081,-76.43773835987386,-19.573191772828757,-25.82829944026356,-64.76079939689119,61.22829140228196
72,-78.22896832471301,-21.452634455148825,-22.55523798223712,-23.2661279444254,-20.396103040474713,-33.17981434939981,22.545682948677282
73,-23.135786647222467,-19.694259376749393,-80.8134623883961,-20.742243536039656,-77.13777692762808,-44.30470577520714,28.35449419930363
74,-78.04724869914769,-75.55885076156281,-80.06938610538815,-19.038492916699685,-20.235239618338017,-54.58984362022727,28.57724112560517
75,-79.482847547795,-74.52314467781383,-24.509185892223787,-74.84361886167056,-77.40329913751248,-66.15241922340314,20.8999880201585
76,-24.7111189957226,-74.72219183397534,-26.024099395243713,-73.54181607066393,-22.9708488027232,-44.39401501966576,24.30314737512443
77,-23.022782394560195,-21.67768426643291,-24.60861920175402,-180.34384063435337,-75.98510033843787,-65.12760536710768,61.147634569592825
78,-73.46996716248923,-22.36264133246633,-130.93188103330382,-75.93321708831044,-24.987853144742736,-65.5371119522625,39.889252487575554
79,-74.68460767741696,-20.471118318221247,-22.63014009382711,-75.84498946554871,-20.44226069728923,-42.81462325046065,26.509881851284227
80,-23.40901177069469,-21.968589103181287,-24.09070776424149,-177.88767556577943,-24.413726065224832,-54.35394205382435,61.77258776266118
81,-24.38408016882946,-20.955662229561145,-79.49158234380114,-73.08741727301324,-24.441891294864572,-44.47212666201391,26.08816273017003
82,-22.23145661231994,-22.241681785690375,-26.16527667064968,-70.5725733521873,-77.11652024013746,-43.665501732196944,24.769406011803888
83,-20.527650297906877,-75.59957962990379,-20.767853737253766,-74.19354044981516,-22.474210393864322,-42.71256690174878,26.290452017595644
84,-75.15209799540668,-76.71006360288541,-24.516864947854135,-18.973237857860358,-19.089879737081407,-42.888428828217606,27.057971041314232
85,-77.54932281486754,-22.554411374722466,-21.93823707418224,-128.25056785906713,-23.25936638032866,-54.710381100633604,42.48991048974445
86,-81.14055783177652,-22.061712578814742,-21.50317151945549,-19.298846067286846,-128.99918329986951,-54.60069425944063,43.908886016511126
87,-24.914278117408145,-21.53827365279037,-24.30006248961275,-73.69989478193185,-74.57246195710323,-43.80499419976927,24.7929446095274
88,-22.611903864891342,-22.238522032863322,-76.43279992119649,-77.41780794996926,-80.82067662959784,-55.90434207970365,27.37460284357241
89,-24.347548899093105,-21.468141871015707,-28.06568131683027,-72.6131457921518,-19.585919945909055,-33.21608756499999,19.9052835041191
90,-25.78691147283605,-71.7593182368502,-25.279190893359342,-72.64592572213783,-135.62825959322197,-66.21992118368108,40.49806801761395
91,-75.38474350563308,-21.157658553184195,-25.124489815857185,-76.72074958444401,-186.9189274147823,-77.06131377478016,59.82353131767857
