episode,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
0,-2816.24634895428,-2978.944899409527,-2018.4707419236784,-2073.1183407695326,-2664.231955046692,-2510.202457220742,392.41560408830765
1,-2065.8802977656687,-1260.1715497406387,-1637.7423619313713,-2119.33559520698,-2179.2425049028375,-1852.4744619094993,352.2688983400925
2,-993.1134835451777,-1148.8936426598104,-1310.109493090288,-1040.791345287345,-1311.1336861313484,-1160.8083301427937,132.33000258261018
3,-777.0914272087637,-615.00075464303,-988.0616341734901,-606.686739808633,-504.3828210917542,-698.2446753851342,169.17771976952804
4,-182.69885564789328,-506.11890826160254,-397.83462463870023,-508.17874164658787,-560.4248623889678,-431.05119851675033,134.98414043727516
5,-237.48172389105116,-397.91924657032405,-344.66870384034667,-81.01131911566308,-183.0803848773876,-248.8322756589545,113.16144704269821
6,-20.45371606872446,-184.82262592191168,-293.2746501352743,-78.4043988773872,-282.7166435749016,-171.93440691563984,108.49564680306462
7,-26.17650725562098,-78.92042801406316,-21.362336273470696,-24.970923924186387,-75.00415804562685,-45.28687070259362,25.940934357424602
8,-80.09709544363979,-237.61828290330317,-20.441461671037203,-24.004038094458128,-236.45108917893774,-119.7223934582752,98.0957699042381
9,-128.79201701801142,-79.20537203857626,-70.85210419023346,-91.23605342849925,-79.76371313667823,-89.96985196239972,20.46602718359563
10,-22.508777994827184,-84.76517163552609,-27.899460721027097,-23.705117901283238,-24.051012114304786,-36.58590807339368,24.157399563723153
11,-76.9024725747202,-79.75917830403723,-22.314811048694665,-81.27289261159183,-73.83208220557248,-66.81628734892328,22.395739616168363
12,-74.73534358462368,-26.887325230586395,-130.50838128798566,-78.62786447563232,-76.11553060483521,-77.37488903673264,32.80940483824075
13,-21.36892698960428,-24.77731067623101,-26.030436480204386,-29.441819672411174,-75.14580982890715,-35.3528607294716,20.063496505153054
14,-25.295194566608245,-133.28849040119508,-23.969146561037107,-81.47077222249717,-19.972117330247798,-56.79914421631709,44.46537261085257
15,-25.839253723298754,-80.96056648854766,-24.910681146895808,-24.863331541260578,-23.649896814896596,-36.04474594297988,22.46867472078379
16,-24.63073672073025,-27.536915911790224,-74.99300459369898,-132.80497941821014,-22.895429658188732,-56.57221326052367,42.774273480359504
17,-20.586145317836138,-83.6527825930489,-78.1138781601792,-26.900839196034788,-20.157623903767,-45.8822538341732,28.731286926308833
18,-73.39273549031971,-129.49747358183285,-130.44711550769193,-79.84535044351641,-76.63273021625491,-97.96308104792317,26.216667663690956
19,-20.774945450824244,-24.06620164082374,-20.77776026977232,-23.52255505229724,-17.940879816932668,-21.41646844613004,2.207075123469835
20,-73.34020802871171,-21.130811380682562,-127.25236606755593,-188.60196047871497,-130.2576314208972,-108.1165954753125,56.76305299581275
21,-21.705170881882243,-79.43014865774317,-25.243051889043763,-80.20008964648657,-21.6508351852512,-45.645859252081394,27.93050424426712
22,-73.65613882287239,-75.83901737193939,-24.164847546104077,-76.15353703478175,-21.25320676558861,-54.21334950825725,25.75401667844643
23,-21.16168568309854,-76.52077137287249,-79.59571070984435,-19.63780922449072,-23.486454071492567,-44.08048621235974,27.786807331014302
24,-77.38230704950693,-77.98145440863189,-24.257943677222237,-22.605215173132507,-133.90459513027494,-67.22630308775369,41.23623097042417
25,-27.16840970117272,-75.69581135869338,-78.71251008617742,-78.07078083558356,-25.546619459972675,-57.03882628831995,25.076585299330254
26,-21.917949413835775,-21.099347669327194,-25.19749857514101,-79.79624806841606,-133.0431435384699,-56.210837453037996,44.33987127982591
27,-20.132877677967254,-23.888969223204125,-20.946996355757346,-81.48761702774456,-76.18742829670535,-44.52877771627573,28.090881101417285
28,-19.170460421540085,-25.28304049653737,-80.87106275099535,-23.52570819894613,-25.501873663115123,-34.87042910622681,23.11249816150693
29,-75.53439351928816,-79.97330959280212,-26.623519517336366,-82.480598680274,-25.072549332956967,-57.93687412853152,26.299283689204536
30,-133.52190800416537,-80.61090111968939,-23.434479096159315,-30.17311891283549,-25.22689155415622,-58.593459737401155,43.02612613129489
31,-76.88006449003323,-77.95106764791215,-77.46900916760003,-137.01395588988026,-187.04304212482793,-111.27142786405072,44.36131437690217
32,-25.168050276263074,-21.80286765494101,-130.73935246727103,-23.99455651934129,-25.46187635346006,-45.4333406542553,42.672421424661216
33,-20.948314763535247,-18.33916928050287,-185.5080198494489,-27.803875191299067,-24.80494348849768,-55.48086451465675,65.09391908688096
34,-22.52535978816492,-20.027986745756046,-23.206479519384157,-80.3864793256693,-22.94785590087742,-33.81883225597037,23.31126702431439
35,-19.79060884965759,-21.43733693129271,-22.645767412119415,-21.60692297794081,-24.869958570262042,-22.070118948254514,1.6722202570489175
36,-22.4963749421508,-81.18202643245408,-22.65330638981585,-76.0106713663101,-132.59519876517206,-66.98751557918058,41.30920786310542
37,-21.988797187817447,-26.104982536181083,-76.70398054767317,-127.38542519755269,-28.303453321224005,-56.09732775808968,40.84619703598957
38,-74.34534276630697,-23.511352499630174,-25.515987033337964,-136.95233413236204,-79.4758599319888,-67.9601752727252,41.73848656197445
39,-184.20675704343708,-28.519666132834434,-129.78005831393412,-75.20754972270326,-79.11550555669558,-99.3659073539209,53.17120511367182
40,-75.51080589042006,-78.18906465153796,-23.329499161975434,-22.56652609430104,-21.85350788482746,-44.28988073661239,26.602756988597744
41,-20.56484272580957,-23.708572101034363,-22.99723177744382,-76.7198035794715,-26.664504074974356,-34.13099085174672,21.38309226028649
42,-23.44960883590154,-130.7868980705113,-183.95858288584856,-21.590332976917,-79.99907361009382,-87.95689927585445,62.73718304840608
43,-71.81793785072227,-29.666591473785875,-76.51303931265345,-75.6328226596379,-78.37358179187683,-66.40079461773526,18.490984769239873
44,-77.13150952076815,-21.7719807330003,-22.9970993545726,-23.268761143686035,-21.02859197052278,-33.23958854450997,21.961061800822026
45,-74.9896952926183,-79.64942766073298,-27.70716952824329,-24.06339531636724,-23.93336253932269,-46.0686100674569,25.59469335187414
46,-22.13260094323088,-25.161676462551462,-76.54991502063778,-20.436102712918405,-25.05089058398828,-33.86623714466536,21.416922272052215
47,-128.29272774304533,-78.0162328246039,-22.822837816452676,-77.21289186209961,-24.172702049062426,-66.1034784590528,39.4061908182428
48,-23.990948310614293,-77.45597282543537,-78.91039412726661,-20.1504162808404,-129.27742802324917,-65.95703191348117,40.4200099131986
49,-75.14035690611871,-75.397674377921,-78.2789902971563,-78.16589326009762,-134.68531809188238,-88.33364658663521,23.213612565552417
50,-20.82190262977182,-22.73696624168,-24.66794819824273,-24.052834210667903,-78.66667612326484,-34.18926548072546,22.277721277550253
51,-18.379998912872082,-25.831460251741778,-25.56840616858992,-77.66861660837549,-21.86566023970885,-33.86282843625762,22.072142840406762
52,-19.472255407660047,-21.615612265359434,-28.90979703747266,-22.036416386009627,-25.596583914595982,-23.526133002219552,3.3338828431513368
53,-129.23694135231077,-80.58738914523842,-24.85891009784813,-24.59085136996299,-25.356204536349658,-56.92605930034199,42.09333831583839
54,-75.29350705877374,-24.473330270129374,-18.40288080308043,-25.06848790029306,-128.81464317792717,-54.41056984204075,42.48720501882582
55,-22.280871794764405,-131.8192407133708,-26.663812558547196,-74.5925553246264,-77.43654319941047,-66.55860471814385,39.98483860850927
56,-21.885300707871625,-24.34679147700856,-74.74703225271207,-78.31076536622622,-130.90309794337853,-66.0385975494394,40.30277078519702
57,-22.086516984892114,-25.325808785931034,-21.26677991439147,-75.32734848209452,-75.08797016136515,-43.81888486573486,25.66486348698145
58,-21.20154225788877,-29.086173603743603,-24.620817767563768,-130.62422847014915,-185.53307717686542,-78.21316785524213,67.52837805980646
59,-19.53281464381906,-132.24341921877067,-21.613028029382427,-25.06287230895684,-79.99165548742891,-55.68875793767158,44.40180056703079
60,-21.459424992955007,-25.23173058974966,-23.395921534377848,-25.07867849380977,-25.172187858069876,-24.067588693792434,1.473181788833031
61,-126.30404534537674,-81.64390022617008,-19.050629679643517,-26.200172492850367,-78.42454244139581,-66.3246580370873,39.5560902594108
62,-21.203343844513707,-25.007643666302847,-74.82664287856394,-183.99270931468584,-23.27625354287932,-65.66131864938913,62.46926883272029
63,-22.14366247652962,-135.25004538861563,-130.59075338357158,-25.956967470084198,-77.76918881380175,-78.34212350652055,48.72623676466514
64,-21.619695690325493,-75.81891757363061,-74.00661858007587,-28.495952174966803,-27.120546118187264,-45.41234602743721,24.203456575309072
65,-73.14368052568992,-80.29219382658171,-74.06181634748499,-26.50260556440513,-78.70463744869596,-66.54098674257155,20.2003985370381
66,-77.58318911928968,-23.68061834665874,-238.237750690248,-185.31725502496502,-23.290146553098463,-109.62179194685197,87.33542049066524
67,-21.849046512517106,-78.97260595950732,-28.038390953948543,-74.21216752470589,-70.44940683983208,-54.70432355810219,24.527349411951267
68,-21.370575935296028,-78.56839329906211,-23.435547397919382,-24.659184745846023,-25.382807340808547,-34.683301743786416,21.984649302730155
69,-76.45659361476879,-133.50588422640115,-22.844184453834295,-79.14221722963667,-25.059054298005737,-67.40158676452933,40.909328647777784
70,-20.14435427083957,-77.32722918438486,-77.52691087122669,-77.77276351733809,-25.222437975802915,-55.598739163918424,26.923567486640543
71,-125.90605697781409,-26.684833840832248,-77.12479052155975,-24.122286525548024,-24.157592966293393,-55.5991121664095,40.5507496613532
72,-23.874134042170024,-80.09858985764622,-133.33530451366812,-25.80999342850732,-22.274657949968095,-57.07853595839195,43.90121095140767
73,-73.17329113028866,-79.88107263071107,-25.162831722085194,-77.10699268066232,-129.18227696299368,-76.90129302534818,32.96358310770202
74,-181.90003924352223,-25.031474155539794,-23.545397644509947,-133.86507145445702,-23.253560526628082,-77.5191086049314,67.3544492421832
75,-72.42049529974291,-25.277550259736582,-25.62883673813294,-24.143721986937916,-81.00573964327991,-45.69526878556606,25.475797058208915
76,-236.10828278406453,-21.600616151332083,-134.87401026623795,-20.57238634330442,-20.508417780627347,-86.73274266511326,86.7590704091663
77,-21.7376476431944,-78.32220868033421,-72.46317474829249,-79.25386162306114,-23.900590913677416,-55.13549672171193,26.497559233513627
78,-72.41822130547052,-77.07073071222143,-78.10143235831376,-25.137889916559445,-22.5371302143036,-55.053080901373754,25.572474303718195
79,-23.1358994257318,-26.30229611402334,-22.99248347451048,-25.80990481519971,-23.344056979068004,-24.316928161706667,1.4329079619159588
80,-74.52798514823468,-78.74174765163181,-238.45814878152567,-23.375572834838323,-77.82134322859915,-98.58495952896592,72.97202169930884
81,-22.244012654519626,-132.45505785573897,-76.57069966083263,-21.22630925109305,-24.886919047745565,-55.476599693985975,43.78095447376469
82,-18.318494374395932,-129.36692144548897,-129.68070895949535,-24.491566763361543,-22.623458255059806,-64.89622995956032,52.80626528696644
83,-25.42294899146722,-23.991299821480506,-81.62322163048245,-26.24228384530575,-24.65851488821167,-36.38765383538952,22.630299032822506
84,-21.448506653062974,-28.611373191958762,-78.56478989199567,-77.55644463096368,-26.58525777373049,-46.55327442834232,25.833375927424306
85,-23.161808456107515,-29.421381725516635,-23.873135775935484,-25.615719574795282,-131.693650188133,-46.75313914409758,42.52555978572034
86,-74.7506875176288,-80.43963837625047,-27.04448614376864,-188.36690049329187,-23.333967081917752,-78.78713592257151,59.63070387654599
87,-77.8171836742392,-28.618996194179772,-20.841607805463788,-28.331502513724523,-24.496639085307084,-36.021185854582875,21.09058483484274
88,-21.10488140108095,-25.174723875690358,-126.63044000633111,-79.82449667121358,-132.0344258630542,-76.95379356347404,47.56061235963646
89,-18.164271028353003,-30.025002298005877,-26.648895309020475,-24.072993156652096,-77.81709980024331,-35.34565231845495,21.587215929496804
90,-74.18260511704185,-75.97332397167749,-26.611708269601547,-24.01239376901274,-24.085747616633984,-44.97315574879352,24.604806347650534
91,-73.67285508942834,-75.21226698368254,-21.583545162142318,-76.91088848244686,-25.13645517934039,-54.50320217940809,25.473731610088375
92,-77.5000974034368,-26.870012509499443,-22.51229932458015,-78.92799616762684,-129.1791683459379,-66.99791475021622,39.264104471848626
93,-75.96303954228455,-27.339178104014835,-76.79414240635023,-25.418316770195606,-20.582540349174007,-45.21944343440385,25.537798714461147
94,-25.372210456846922,-26.285350954093452,-20.684738794859587,-73.56553772654352,-76.86151157320278,-44.55386990110925,25.12715998176555
95,-236.44825032533808,-23.866626939641296,-73.55427593462684,-79.03771188520612,-132.34928630445975,-109.05123027785442,72.37411392402332
96,-127.64795976459492,-26.37521620397503,-22.214694034393563,-186.44159432472773,-22.43141689223496,-77.02217624398523,67.94807529908961
97,-73.15233899267824,-78.8101218986388,-23.115649250332773,-24.423532711815962,-23.170773252899245,-44.53448322127301,25.74267258221497
98,-19.884656330688994,-28.232991495000835,-23.52001802707334,-131.19351805573152,-24.54554606565252,-45.475345994829446,42.941542028421914
99,-20.318647284552988,-31.301761707412457,-22.434349412357637,-24.294620211753696,-28.21741379364291,-25.313358481943936,3.9640426656498464
100,-74.2687883472008,-81.23688333891758,-75.92324319835446,-77.96631716362856,-79.6865253356837,-77.81635147675702,2.5055594705314896
101,-21.833728854950586,-80.7172861326387,-19.740152247088226,-25.90224171329928,-23.56373645290518,-34.351429080176395,23.27117534295251
102,-21.81077874842532,-184.7193584566151,-18.8546242179225,-77.40766320717087,-24.55605332001228,-65.4696955900292,63.428683081441825
103,-126.61420891576095,-83.97792631419645,-22.46054201915995,-21.38591156931111,-24.965269267411138,-55.88077161716792,42.55642056326015
104,-24.254253608133578,-80.77243229566119,-24.17910541550483,-24.795275600225875,-26.83816161154246,-36.16784570621358,22.323131820490566
105,-18.09473403690485,-26.61860662138127,-27.257004985583908,-24.521321340429058,-79.23524024614379,-35.14538144608857,22.282025272868182
106,-22.783867721971298,-26.239697850949177,-73.76628490309743,-27.417856512235925,-82.27926891580998,-46.49739518081276,25.9255446080838
107,-74.14922621098272,-25.725405486514383,-23.275954333777744,-79.52877429117109,-130.19589255198002,-66.5750505748852,39.53804210555028
108,-73.54094479220494,-81.3187187446714,-21.156316297601904,-24.082175615113528,-27.96259889015129,-45.612150867948614,26.184388033847245
