episode,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
0,-4980.134470113203,-4941.246794695937,-4832.335533034618,-4839.928413993842,-5207.47333415601,-4960.223709198722,136.17289185206408
1,-4735.0370555486215,-3970.0493706352036,-4528.132964788553,-4719.672242086731,-4577.285869130373,-4506.035500437896,279.6170287861141
2,-4531.041162605409,-4211.10464369091,-4139.40790851006,-4261.740522572614,-4523.70136444014,-4333.399120363827,163.09555781841675
3,-3957.301834695235,-3931.3467117939304,-3534.540965122416,-3988.077552508349,-4218.901889621568,-3926.0337907482995,220.85909622645102
4,-3230.072560859355,-4011.650019813357,-3443.7954594570165,-3661.066219218845,-3134.683234916424,-3496.2534988529997,315.3201547710018
5,-3503.251461033092,-3773.0193522160853,-3905.149030338947,-3709.151930178239,-3994.617520714941,-3777.037858896261,169.31451258193133
6,-4082.1176736153643,-3796.4937976692586,-3914.121259692617,-3883.6491456551207,-3796.0199921478843,-3894.480373756049,104.88722709718282
7,-4139.416320172597,-4015.471229916569,-3699.8382386091835,-3776.3385039643586,-3697.0992597093045,-3865.6327104744023,179.59612083344715
8,-3691.5354793883557,-3647.871737649058,-3549.31195103696,-4035.518991872015,-3275.5257024491416,-3639.9527724791064,245.03835106716616
9,-3827.180098678893,-3817.523410799272,-4011.899557053918,-3324.706364165652,-3888.3104701804664,-3773.9239801756403,235.05328558801645
10,-3831.5867852562737,-3348.761319553615,-3237.3675685022135,-3852.789619306046,-3761.1566114841917,-3606.332380820468,259.9727462067738
11,-4409.394636989739,-3536.0674371861546,-3916.817081355637,-3548.474109446267,-3743.457887751235,-3830.8422305458066,321.36412990655543
12,-3911.633639181309,-3408.787694372538,-3902.048220725274,-4056.774808119526,-4193.0384269126125,-3894.456557862252,265.22642301371377
13,-3784.804866930313,-3888.3716830300805,-3563.082991980428,-3717.841192618958,-3238.404318940024,-3638.5010106999607,226.2300934934797
14,-3873.198195418621,-3546.5201784854426,-4083.8425586195426,-4097.837408166255,-3296.3712819382777,-3779.5539245256273,313.188566572744
15,-3554.2160808822237,-4259.616074321484,-4081.9081964414513,-3395.069034531619,-3927.0167062411588,-3843.5652184835876,323.02990296390584
16,-3747.824128672769,-3526.3733312581253,-4082.5709544426113,-3541.8230255248654,-3975.359004616922,-3774.7900889030584,224.35180063994727
17,-3342.426919276372,-3555.1361861162222,-3535.3753962870583,-3371.463630866382,-3399.123926182335,-3440.705211745674,87.45160300296159
18,-3992.0971151203353,-3854.961194934795,-3903.2492703707853,-3438.6637917974044,-3861.875367274077,-3810.1693478994794,192.07174944189143
19,-3583.6805515120823,-3567.9802750499152,-3823.7692813351428,-3275.966592668423,-4232.554011565898,-3696.790142426292,319.26316627966565
20,-3743.709288239458,-3854.626238758961,-4180.715080144768,-3903.035083370599,-3598.338867777565,-3856.08491165827,193.2110227274506
21,-4223.080721187512,-3545.3521073274774,-3581.734399426841,-3758.1408191846385,-4055.69696629384,-3832.8010026840616,265.79553005333656
22,-3587.8878001038192,-3518.5475311162318,-3548.7771394072524,-3409.5321364281117,-3186.2302222109147,-3450.194965853266,144.69325230129985
23,-3265.0171578821687,-3710.278141258115,-4202.866168008534,-3603.344446574353,-3994.005538858569,-3755.1022905163472,323.35439902342785
24,-4169.1342168136725,-4140.013775759902,-3533.4391348454346,-3895.599998542759,-3398.8267274018076,-3827.402770672715,312.80950360464146
25,-3848.199681498642,-3946.0777653235205,-4079.2073283355644,-4038.4626515959017,-3969.7757894023825,-3976.344643231202,79.77436167894834
26,-3903.7202660468515,-4055.764623755499,-3855.3984679557802,-3640.1966695507217,-3523.6363083063243,-3795.7432671230354,190.29756816143419
27,-4270.603247856179,-4419.7382501212005,-4150.245163763029,-3823.7284100421048,-3753.078455576399,-4083.478705471783,256.5846358572147
