episode,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
0,-3187.234689085095,-3187.291911918084,-3249.991492732348,-2926.6595715229073,-3254.599413664636,-3161.155415784614,120.80991284600113
1,-2365.916873817127,-2223.2444882158793,-2327.5958753796886,-2103.5795381983967,-2015.7703563404261,-2207.2214263903033,132.15607797221494
2,-2006.1073799732185,-1840.0964667939058,-1627.0213312162214,-1885.3066372139874,-1941.314872440961,-1859.9693375276588,129.054334984316
3,-1185.866230631097,-1294.7472617114659,-1504.2488600934862,-1506.6517895300037,-1710.4703676140941,-1440.3969019160295,182.97876373310476
4,-919.8690119719197,-1399.1949056756173,-1596.6998515511852,-566.7250536211316,-1281.1977464269546,-1152.7373138493617,366.60173958849265
5,-865.2792980710948,-1029.6904335635502,-1540.808312019154,-813.7742631693116,-1380.8834689177659,-1126.0871551481753,286.97289356612714
6,-1333.4334066753006,-1174.7618239075389,-1433.3603606668717,-765.3022469363232,-964.555373384546,-1134.2826423141162,243.1875616451839
7,-1388.9372074542737,-1113.7025759188525,-962.9667331341625,-963.0524856246358,-1070.0621329370715,-1099.7442270137992,156.2697393259332
8,-963.9413617623123,-1067.8447444819612,-1318.810521708136,-1081.1647178680316,-1112.3669728793086,-1108.82566373995,116.2258199159258
9,-1323.2917272615628,-1271.6872092727538,-1066.0884719129613,-719.2735218319385,-1213.831047018047,-1118.8343954594527,217.54179883892726
10,-1114.7692122217193,-662.1434767891288,-908.7367568502216,-922.2642600341453,-966.1156611484189,-914.8058734087266,145.978614570454
11,-973.7615825820955,-753.6067437186153,-1219.47011537078,-916.6484585335237,-1066.1840536628727,-985.9341907735774,154.857222181286
12,-817.2431758425569,-956.3566957246096,-1066.817418518605,-1024.3097333272895,-1076.1791187607655,-988.1812284347652,95.35739789312005
13,-1475.3357898560425,-758.8371683030082,-1011.3082991980433,-869.5831284226688,-810.4706837892691,-985.1070139138062,259.24984824043366
14,-965.4030236932693,-706.7594765656391,-1231.293878394462,-1073.105580764483,-851.9961751209764,-965.711626907766,180.03050241975686
15,-956.0921721681,-1177.1532752257428,-1127.6671813683663,-912.7319821897593,-1221.5281587986296,-1079.0345539501195,122.5301742016508
16,-1011.0404939129486,-1013.166046065814,-1325.3446621885544,-866.393024947467,-1224.2133934781223,-1088.0315241185813,164.6323843561134
17,-705.5158066798248,-1013.0569415290767,-862.8900725259396,-655.5757112323666,-1275.2718282215521,-902.4620720377519,224.73317031499934
18,-1271.2852744182837,-765.4961194934792,-1378.9472264017256,-757.6882775542704,-1069.2946984434668,-1048.5423192622452,254.52847100337496
19,-1011.6200496537313,-1161.7980275049918,-1123.2925170039757,-712.1507119592051,-1437.8925058312125,-1089.3507623906232,235.033588066659
20,-1027.4003486973577,-1015.6572616832369,-1129.3583674908791,-1129.5651425427743,-860.3278209714925,-1032.4617882771481,98.74828753756532
21,-973.0287037755654,-1163.599438342976,-970.8174964643996,-1021.5060847984189,-1173.7603631066029,-1060.5424172975925,90.19101902948525
22,-1217.6345329535568,-859.4674318757898,-1121.3891766103864,-764.763058045784,-1067.795720780772,-1006.2099840532577,168.27916326277187
23,-1056.3019785739693,-1421.5438257151648,-923.5095888877615,-710.1256243677941,-1071.8258649398056,-1036.6613764968993,232.02832528435644
24,-1128.971448896612,-1119.0013775759903,-762.7887807581519,-976.2722989412698,-1112.6425034047766,-1019.9352819153603,140.2343646010364
25,-1268.9354641378786,-1120.5146607782422,-1323.8557966950882,-877.1842256226921,-1119.0200043985442,-1141.902030326489,155.11362881164854
26,-1169.9500937351875,-1170.5764623755504,-1219.6481385555471,-806.7264644821726,-656.1743972010481,-1004.6151112699011,228.77450778420618
27,-1126.704597884688,-1176.9738250121193,-1180.8052230801975,-864.1562056457374,-1179.692306442616,-1105.6664316130714,122.45832447624879
28,-1075.3196340556929,-1014.2097504366799,-1320.531851585228,-767.3728665002006,-763.6067297986808,-988.2081664752965,208.76664336519212
29,-1182.5649784898671,-915.2019060171148,-1019.8396063946306,-968.3118713802613,-816.5516928764489,-980.4940110316645,121.38311163401889
30,-978.6364609810454,-960.3519988894732,-1433.8035516503044,-1169.3778574088278,-711.4347617321765,-1050.7209261323653,240.54503935614204
31,-970.0789984832307,-803.9225320462864,-982.0313537883688,-1062.55210198697,-767.8489839875226,-917.2867940584758,112.4846652042612
32,-975.6403726714144,-807.8532960263844,-1329.668752776533,-549.0177603575373,-1021.273702479039,-936.6907768621816,256.9017306548458
33,-922.3614789861351,-863.6467639582877,-965.7934595787037,-969.3343032671345,-963.7814497987789,-936.9834911178081,40.46430206528849
34,-968.0255297282713,-909.4535647458205,-1073.901991925908,-808.9534511029502,-857.8383537702708,-923.6345782546441,91.90523098224949
35,-1072.2267427196696,-969.8464652552979,-1430.2635874517355,-1076.1446779111743,-1120.8396048463658,-1133.8642156368485,156.24005481412846
36,-1180.4410510418854,-551.0097344642319,-1129.5992195229499,-822.6714079771651,-871.1468850667393,-910.9736596145943,227.7574576222048
37,-505.63284842185163,-1170.3182269137062,-1533.8803506643467,-860.3466046078144,-913.3363507584763,-996.7028762732389,342.16800306986113
38,-1229.734338487414,-807.0139694514655,-1069.554560798501,-703.9940403336045,-811.107170355077,-924.2808158852124,194.6753020951791
39,-605.6914185442575,-813.143389997189,-862.562603688376,-978.038418917963,-1130.1028211218095,-877.907730453919,174.4477753995234
40,-866.4298272767049,-1064.677686210062,-1222.4433081284192,-964.6322730142354,-1176.0042635963919,-1058.8374716451626,131.4719407586304
41,-1230.6597970556709,-614.1644126346195,-1382.8845673517656,-755.9733628367085,-1028.6428970683496,-1002.4650073894227,286.01142224115574
42,-971.1751244947387,-603.1786826670898,-1442.0116937597797,-967.4161038996746,-1025.5587613462294,-1001.8680732335024,266.59702955461114
43,-868.0100478512336,-760.1569639786592,-1225.0446675851827,-912.8325182838213,-1338.871871645482,-1020.9832138688756,221.73045381481123
44,-864.3264096662831,-954.810231901661,-977.1260800352505,-956.7726610302029,-717.3016926225736,-894.0674150511943,96.59298890516693
45,-1371.7289240873224,-864.7327480240414,-1123.693758811819,-706.9707357024678,-865.2851259372254,-986.4822585125752,234.46977151997237
46,-1270.8065234177723,-650.9103508697759,-762.9713496779257,-715.0179161152731,-1222.669037241878,-924.475035464525,265.954328511521
47,-1594.605453391465,-647.9601685521558,-1282.3885574499711,-809.1089271668342,-1391.8796472074878,-1145.188550753583,358.28521285160673
48,-1114.4348808444934,-706.1636604672375,-1335.4013259892415,-915.0180605388601,-1167.185227452299,-1047.6406310584262,217.14228861917985
49,-1221.5015768514763,-967.8518976991827,-1125.0816830262042,-865.4387632111692,-1015.4016231128512,-1039.0551087801766,123.66026466848194
50,-1071.1462862777673,-858.2119793915167,-984.9809222076931,-702.3939222071679,-1230.6410798921868,-969.4748379952664,180.27588148885155
51,-768.5411758628546,-911.5679978553915,-1074.1276720449757,-1167.686856562719,-1068.3456732724546,-998.0538751196791,141.1803059536021
52,-1072.1928470977455,-553.0418376414383,-1333.9848809941907,-808.5196855804603,-1328.0769019285062,-1019.163230648468,302.98261473177143
53,-1081.1895301676723,-1014.2662460452262,-1444.9140901435546,-861.9439968669589,-1401.072536585826,-1160.6772799618475,226.08693519003108
54,-1178.8910582183091,-862.5439345234354,-1271.9281016009409,-1187.7815662301218,-982.1594338232788,-1096.6608188792172,150.80099865212773
55,-1498.6252079723552,-1428.098766749669,-1027.0050336434779,-1032.6211508415302,-968.9721899972296,-1191.0644698408523,224.5545057477633
56,-1017.4795941614568,-1164.548226093825,-1432.9715947966345,-1239.5761890630301,-972.4285994123329,-1165.4008407054557,165.05502039585906
57,-1118.157060160722,-862.8739023374019,-1122.6332665965142,-1026.3054639867037,-1137.4078604670437,-1053.4755107096773,103.03234630688654
58,-759.4142101304249,-755.8719332486571,-1058.6341395405163,-1121.4757687697313,-923.5713443900083,-923.7934792158676,149.98568620305616
59,-1284.6581611495317,-805.3651965593851,-1030.0519823784823,-1134.942923678636,-1275.591267412063,-1106.1219062356195,177.5764294457985
60,-713.3451494123485,-1215.8813015327949,-1657.2245771269295,-706.9024565304512,-810.3320531438428,-1020.7371075492734,368.90373985676996
61,-1072.2882003514687,-1078.2328175137407,-1695.63378041163,-761.5900443741963,-1175.05239873662,-1156.5594482775311,303.3745734619451
62,-1609.8283884792424,-817.7603247261995,-1122.9120759928771,-766.6162169283309,-862.4760468834907,-1035.9186106020284,312.13440566772
63,-1078.3162625301193,-1068.4933896937362,-1078.7661852962162,-607.5061614553595,-974.141107135649,-961.4446212222161,181.28232281539576
64,-1630.1296944293322,-801.9773532262212,-1123.5348604785847,-713.6108714058352,-1117.2656813028889,-1077.3036921685725,321.6917565198861
65,-1190.0872484086315,-750.5202890939993,-1281.749057810875,-807.6189352133213,-1220.0151588183062,-1049.9981378690268,223.90796992741105
66,-1332.5084668080297,-1169.2572164208875,-1080.6801418305793,-652.1481538190898,-1238.712972445174,-1094.661390264752,236.17792748949918
67,-1071.5070354066816,-598.2932986183481,-1173.0910431590191,-663.4619089679477,-1129.0356435749043,-927.0777859453801,244.85174158441518
68,-973.1870147582556,-755.0154772769021,-1124.9365180882387,-921.8217007517654,-927.1046820393507,-940.4130785829026,118.33685304041578
69,-1177.5223872065299,-555.7348652572989,-1426.3435455291742,-1076.7084039454696,-821.1122740474514,-1011.4842951971847,299.2925255576215
70,-1124.6833075786471,-919.479727556361,-1126.8782722830938,-817.6552045577213,-873.4770361177824,-972.4347096187212,129.2950084775886
71,-1032.201756576578,-765.4364996705324,-1285.298557624821,-666.7728375914868,-1184.2881129477535,-986.7995528822343,237.31137651463803
72,-1438.7517330003861,-869.2642340398445,-1221.1762032921188,-965.888523962685,-1185.1147419918102,-1136.0390872573691,200.70462416486367
73,-765.412333712669,-860.7634986295576,-1180.0113453569384,-909.6421001528462,-1085.854279368248,-960.3367114440518,151.3220975274264
74,-1123.3497110187625,-1009.5087421014487,-1340.5112002144203,-1124.4806121505,-866.9317093279213,-1092.9563949626106,155.72513016065
75,-933.1466170938527,-962.9227624865592,-1325.8704282725737,-966.0048800797276,-1130.7435212760615,-1063.7376418417548,148.30558584658445
76,-1496.6554990407924,-965.3752249775191,-980.7596872681121,-1020.0724995500724,-1026.3010496447803,-1097.8327920962552,200.73570873698387
77,-712.0933065645632,-710.9291513628651,-1174.4780685422438,-870.871396034969,-1015.340684167783,-896.7425213344848,179.16127623448585
78,-1042.5480287726712,-854.9705479543005,-1277.548600390353,-1017.4843900345002,-1431.7146037411992,-1124.853234178605,204.26387583014832
79,-1355.818773731967,-1057.4267910696983,-1436.8155687552276,-1182.2805473259787,-1178.937124572358,-1242.2557610910458,136.02801237561974
80,-1246.2440755427556,-1059.456326093959,-1228.8977087696603,-915.7170161548263,-815.1695377833206,-1053.0969328689043,169.549320412174
81,-1397.7707110173376,-658.6674811742367,-1281.0737396025856,-868.7150354616659,-1130.3921192161517,-1067.3238172943954,270.29881199791663
82,-1195.4247077587618,-867.9367754261419,-917.76120215781,-912.9141050287004,-1137.4131711296466,-1006.289992300212,133.16399231409775
83,-554.6863582666635,-960.9803366560159,-973.85965139097,-657.7295873351694,-615.0956836446401,-752.4703234586917,178.5809372571456
84,-816.302392863562,-1232.2054834873404,-1479.9086570886607,-867.5989954908871,-981.3894229708293,-1075.480990380256,247.9378940808943
85,-833.9010927029726,-962.0503129194923,-1126.6765309512793,-763.0651089168739,-862.3041443232836,-909.5994379627803,125.94677641648104
86,-1344.603571414007,-867.8339582944607,-765.2724179671492,-718.0588426124095,-1174.0625378617563,-973.9662656299566,244.01488826219898
87,-1284.3401842294697,-1384.482482964916,-919.0494051917176,-708.8495508820935,-629.3438690910062,-985.2130984718406,302.08952580064636
88,-1232.6911773993331,-1281.9528580153935,-1342.6584093036822,-1019.6677282402511,-1180.9273340843133,-1211.5795014085948,109.86307507120665
89,-1030.7166784011208,-1133.4117519641525,-1220.190017373314,-1027.4558521134024,-879.0338428074974,-1058.1616285318973,114.62862947691985
90,-1036.3349857291025,-936.0225193583686,-1234.7263040429464,-909.0231315516962,-1136.3346547896706,-1050.488319094357,122.170670695758
91,-1295.3545676531378,-878.5352702415938,-765.2268661366679,-870.978485399012,-1242.0261572754323,-1010.4242693411688,215.3073666514101
92,-1122.444656816802,-1051.6436137526248,-985.9749576141689,-808.0157934214368,-1025.4936020955704,-998.7145247401206,105.21982296937016
93,-1246.16689041507,-835.6863446670665,-1024.209836314473,-972.2638220663345,-1085.3810990396,-1032.7415985005086,134.8201748386376
94,-768.421700008217,-1205.4148138287821,-863.59903455855,-865.132791110466,-1128.1107654688103,-966.1358209949651,169.2906360700376
95,-1168.3930268344297,-1105.2185444648624,-1019.9937954818332,-779.9415343730399,-1030.2292799531765,-1020.7552362214683,131.91856878473882
96,-1077.0627901412486,-881.0031872258647,-1080.2809731447917,-778.7749234535282,-976.1746661597681,-958.6593080250401,116.19541013704438
97,-657.4074525660403,-1193.553710470145,-1384.6940781088151,-1142.0348881023344,-1133.6597074109447,-1102.269967331656,240.23543529603367
98,-1080.9029419496076,-998.0866021962987,-916.1687350113255,-831.9916252939604,-1023.5463155263719,-970.1392439955129,87.06267546692214
99,-1033.9018160213184,-826.5036514218466,-1085.2983705184488,-1038.4713235280994,-1045.3354220370666,-1005.9021167053559,91.52846161698822
100,-1088.3497810748881,-1050.7733876640789,-1544.8911181098551,-1039.0488422214912,-1249.1537427803223,-1194.443374370127,190.70984334530323
101,-1092.7487719811231,-934.9449695987247,-1294.7535757154317,-713.2841463744809,-977.8609039293042,-1002.7184735198128,190.9834191154813
102,-862.7703807775931,-770.850086714549,-1343.5989225215747,-770.1182847077474,-653.3346923703175,-880.1344734183564,241.07492069265962
103,-1127.8882141468275,-564.5376181277248,-1291.4881410915323,-1033.165850429202,-1334.7064370852913,-1070.3572521761157,275.43633592272886
104,-1025.743750538726,-1051.393265848189,-1495.3075786347072,-991.3144804599895,-1224.9439405457645,-1157.7406032054753,187.02851710855208
105,-1000.4562789812527,-673.6088524145814,-925.0582627098865,-1461.7225549766454,-820.0536328698244,-976.1799163904382,266.4128691720324
106,-933.1699459587782,-942.4613970905726,-1227.1147832747813,-1349.1420834944083,-1441.2056800652056,-1178.6187779767492,208.0371981588644
107,-969.1025045049125,-684.6317717853517,-1379.730699016653,-730.1172604678447,-978.0125836324172,-948.3189638814358,246.80869939094623
108,-1343.1081104429493,-843.9852737765735,-976.5044536566559,-937.68336915368,-1290.7307596332657,-1078.4023933326248,200.14438369528543
109,-977.760509351486,-882.8862018296612,-964.557212843043,-730.5054363735929,-1285.2054008090722,-968.1829522413711,181.3142276061745
110,-934.5690924533866,-782.4901803417845,-1078.5133523679617,-561.5321930806563,-984.0240648916907,-868.2257766270961,180.79993931954866
111,-1079.948267234973,-666.9188933174129,-1695.8423073448648,-835.3062379530159,-974.2828682886427,-1050.459714827782,351.1654190753809
112,-1035.4308947647726,-844.9376630811306,-1122.0329174496908,-878.8924890130348,-1109.2312947275223,-998.1050518072301,115.56146450949703
113,-1135.1491305439793,-1215.9490809390823,-1291.6776554140927,-1031.7622354496784,-1049.95980871243,-1144.8995822118527,98.48911125051985
114,-931.4908133182364,-1058.7060472529731,-1130.691266934068,-721.079626484489,-1190.8322680609288,-1006.560004410139,166.86430229542924
115,-1041.153781136433,-845.485653411472,-1443.4719775890308,-997.7162946981961,-994.5397024411385,-1064.473481855254,200.74192026423822
116,-1126.6896586846044,-1162.0101527847835,-1234.4010044209713,-886.4389706925199,-1186.6628981994563,-1119.2405369564672,121.56398049569835
117,-1031.5725651001396,-1152.6731646052178,-933.6142642464433,-1099.9224778670932,-977.2821189399481,-1039.0129181517684,79.50289649879561
118,-1122.625595020792,-1003.2916674225585,-1288.7811738379478,-975.009309694406,-926.2174107048046,-1063.1850313361017,130.03776540080946
119,-1194.7589506678785,-831.9731972000505,-865.9757801749788,-686.5141842541169,-1025.0649263267453,-920.857407724754,174.18978412612472
120,-1089.5656636062417,-930.5554667844445,-759.9277564347435,-1408.5966107337001,-1497.7281240474174,-1137.2747243213093,279.6218730731125
121,-980.1235534395746,-1045.598208947375,-1333.1803530401462,-788.7297024491213,-1284.5703516976116,-1086.440433914766,200.86766691267593
