episode,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
0,-3028.247031872938,-3345.790225091491,-2179.23364521466,-2338.6363254190614,-2980.6510568716485,-2774.51165689396,442.1713493653604
1,-2432.8170996267418,-2050.7369007607413,-2065.513044833021,-2645.19173620925,-2697.4735160489404,-2378.346459495739,276.1189232446692
2,-1620.964420986204,-2133.0557929487186,-2096.010306324833,-1978.9214616023007,-1839.0581455772517,-1933.6020254878617,187.02562568031558
3,-1869.3590753956773,-1513.1346404579376,-1819.4658044967002,-1347.3364340867427,-1344.872292612934,-1578.8336494099983,225.8114674501093
4,-1171.8106754943778,-1236.367870101357,-1548.170591809889,-1750.9590777406897,-1142.0439179551738,-1369.8704266202974,239.1547718876165
5,-1230.2401424917175,-1085.0454587979414,-1229.1049782919042,-913.5781745671527,-1173.1515457742894,-1126.2240599846014,118.76023532738826
6,-495.54288357248873,-1183.8817834906743,-1127.0768413887079,-811.6519438831186,-978.8169414258933,-919.3940787521766,248.14316663729107
7,-502.6882274190285,-861.4399324838448,-1071.7031608764908,-859.9390148924075,-804.6036381344202,-820.0747947612384,183.07957565820968
8,-1023.3777818363752,-1123.5053599689713,-1017.6864580701389,-920.3173719172244,-1329.0135045735615,-1082.7800952732543,138.8880066574726
9,-1161.2672331781087,-972.9663676345189,-1015.4274993926,-1487.1099927350674,-1228.2063420044938,-1172.9954869889577,182.5886264113947
10,-1112.8281480614428,-1082.4273621885645,-814.7477167453619,-653.3527154698005,-707.015881625051,-874.0743648180439,190.03187890225595
11,-1068.9519057650482,-1280.5090996478837,-1117.9031433608543,-1428.0248051877493,-1120.6463123568428,-1203.2070532636758,133.143610863648
12,-761.9255834667875,-1064.6186553120306,-1316.872811806874,-1327.2310582230866,-1056.7626072014752,-1105.4821432020508,207.81391852038183
13,-1112.9204075902471,-646.191824793898,-1066.3633847932085,-1485.5432019298155,-1221.9825608101473,-1106.6002759834632,272.2299418431288
14,-867.6622569775453,-1026.4587598612432,-707.6494070709637,-1119.8240761837615,-1067.5911678380596,-957.8371335863146,150.81117469839197
15,-1117.1392294710258,-811.261283334498,-1075.0149633060034,-1019.4029423571302,-1010.4607147465754,-1006.6558266430463,105.10523065292158
16,-916.4425157562442,-1282.6502460340844,-906.0115542952641,-1324.6530800227918,-813.4113329437286,-1048.6337458104226,211.7052618933329
17,-655.3457081634168,-1382.8377399090227,-915.8768786698183,-1322.130576343419,-917.2671506131601,-1038.6916107397674,274.0640962976282
18,-1072.9136675593056,-768.7048196521398,-1069.9831378090491,-1276.0952321023801,-965.0418828368106,-1030.5477479919373,165.22489252837565
19,-906.2762498830932,-1119.6148049341007,-652.9096237307455,-1371.381723372112,-910.3865077456989,-992.11378193315,240.50262886962133
20,-702.4496449976598,-1059.473688351088,-1228.7473867791064,-869.9085898119635,-862.5622496338024,-944.628311914724,181.5937726629076
21,-864.7503864052297,-1329.5781564433019,-717.6360944812917,-1167.344871820972,-966.096367598109,-1009.0811753497808,216.97235676833625
22,-972.7413804512152,-748.5767166059791,-1223.6090375743847,-1071.4164235958242,-862.5673910660704,-975.7821898586948,164.32481089274452
23,-967.922286235684,-954.8634375396003,-969.2142300418299,-1056.629134604768,-957.8658848436621,-981.2989946531088,38.072449787673364
24,-1168.5390377211588,-913.1212912049243,-1022.6914572241924,-1056.285081512175,-1223.5771667132979,-1076.8428068751496,109.63475228498609
25,-1172.8409081952234,-1013.1789650752061,-1016.3731635450331,-1223.0285774848976,-1115.7812539113606,-1108.2405736423439,83.52566236885623
26,-964.9159753660084,-861.0959495313925,-970.2538475896481,-1168.495647110037,-1179.216905248314,-1028.79566496908,124.71855372884954
27,-809.3723549649787,-1024.7410279768633,-609.8881902369714,-964.5647727823651,-861.6367907286422,-854.0406273379642,143.5392505915334
28,-700.6664132060089,-1058.3685759248683,-1019.5667962502532,-807.9637608384412,-858.1787971225067,-888.9488686684157,133.20641744357695
29,-1215.3544177293168,-1168.5771514091132,-812.8621772523978,-1329.007646881966,-1112.4581766089057,-1127.65191397634,172.76235897865652
30,-809.180214841052,-1628.6607927911746,-860.4472737300638,-1024.071837691334,-852.6108179682143,-1034.9941874043677,305.7062658172657
31,-820.9146260488794,-913.7469832632028,-804.8935175759556,-1068.9492359770675,-967.7734199861843,-915.255556570258,97.42909183957252
32,-1218.7435375502307,-814.5790463387654,-602.2990424323043,-1217.8163728512816,-1070.2245507859755,-984.7325099917114,241.49769998337771
33,-1069.540781900436,-599.1019737189429,-1180.095017443824,-1009.4637106352466,-971.480769738607,-965.9364506874114,196.51495845675294
34,-906.5154194025988,-698.5567071058284,-1077.828022537207,-904.4068377204584,-862.8223233400098,-890.0258620212204,120.9535772600073
35,-909.5773214268899,-753.039203935683,-905.671302662954,-956.9276028707849,-1016.3936672535647,-908.3218196299753,87.36514027350348
36,-549.02604322319,-1527.3128263776882,-1017.9776767410366,-1016.9736847604619,-1320.4378726266411,-1086.3456207458037,330.8928009166436
37,-813.18068200425,-1224.8297346701177,-919.1597675681842,-918.7556645090843,-1062.564571013452,-987.6980839530177,142.64872396988721
38,-1013.1310676713363,-705.4142558018187,-959.7837019205585,-1482.0978909884423,-1159.9821781111557,-1064.0818188986623,255.36280562998547
39,-766.5628940155412,-1124.3439678668485,-1174.2755315191391,-1170.7653362665112,-1063.2009894424464,-1059.8297438220975,152.04173084333107
40,-910.8662353935712,-1224.9399693139412,-914.7262417362152,-956.2211666262078,-1537.3003081135118,-1108.8107842366894,243.81292219885702
41,-809.9774196008943,-1120.964927392427,-1223.7650862606213,-865.8830032762236,-1373.0105732176266,-1078.7202019495585,213.05014157106982
42,-965.1488805818891,-1013.4401586021573,-970.588197150832,-1010.1042817412113,-1431.8750924331625,-1078.2313221018503,177.92008639803768
43,-1072.7356109897278,-1169.5181188542163,-966.2910819309305,-966.1134390181363,-814.5282346172082,-997.8372970820437,118.90150649435748
44,-1178.8222230366075,-908.3835026269492,-1059.9325101485426,-1426.267793527045,-1016.2646442333117,-1117.9341347144912,176.8555035115042
45,-656.8075032097527,-1323.7723942549744,-861.1373919157054,-1064.3704770438019,-1125.9787295129408,-1006.4132991874351,228.77981713031352
46,-1176.6284594805256,-1172.4377521467734,-1292.2841969434212,-649.2696675386237,-864.0457740722098,-1030.9331700363107,237.93841869709564
47,-1064.026614829954,-1283.9919969611756,-919.7066365622055,-1322.7098862872028,-1111.2415921819118,-1140.33534536449,147.81353300868375
48,-1061.348514511421,-1113.745454483229,-922.267909682279,-1078.3750082460874,-1214.704917919364,-1078.0883609684759,94.33539061893657
49,-807.9939066336473,-871.2862699382687,-911.4235026779302,-1533.042474780589,-865.4095854269605,-997.8311478914791,269.6311184162072
50,-656.9318497499722,-1169.8201464423908,-661.8355914586531,-976.4258188727772,-1275.1831413434502,-948.0393095734487,254.42945647281428
51,-852.2119916167236,-1221.41445546672,-759.1786417517636,-1019.9151905259126,-1169.529730577859,-1004.4500019877958,177.70678933291933
52,-903.2925436957379,-811.3695823956004,-1068.3038724885678,-1433.351030654568,-1009.6747693326781,-1045.1983597134304,213.20011438762364
53,-961.3752577481717,-1020.5510269111594,-960.5477909361159,-922.6576284157117,-964.3354255431426,-965.8934259108603,31.331149210090427
54,-809.7416264439084,-859.2102028465541,-557.5401251414497,-1426.2959352471437,-559.775857071357,-842.5127493500826,317.2712109188942
55,-714.9395812183903,-1065.1529160006082,-1024.0158417102978,-1064.606914514781,-962.0990873475956,-966.1628681583346,131.1235147477654
56,-958.2228050937779,-814.6843164709712,-751.8588827694831,-1178.02602218318,-1126.4314840474678,-965.8447021129759,167.03683037014753
57,-956.7214555676346,-1064.3924550258446,-652.5220621804907,-1064.5816252381846,-1164.0819209190095,-980.4599037862329,176.60403406173904
58,-1013.068219086196,-1386.1272925601454,-1077.7460985736204,-1077.319284702537,-864.4515449259017,-1083.7424879696803,170.05713995975518
59,-968.9168512200213,-924.0391535830659,-1166.5046635633803,-1165.8092464444949,-714.8763780661741,-988.0292585754272,168.83821134725068
60,-1019.1763927463439,-1067.8950086864577,-1123.9536558696377,-1060.2341342854954,-1061.0166205537198,-1066.4551624283308,33.501375783048864
61,-813.9431143419312,-1061.0909764203404,-1012.1233440413038,-1121.1335537443551,-1324.2617513872553,-1066.5105479870372,165.04363293341612
62,-1031.1879006070155,-1079.0213838094314,-1196.1020943329588,-1370.7141772388295,-906.6595746061297,-1116.737026118873,157.27483303337632
63,-1019.6513033339531,-1335.5449209650121,-1168.017125896397,-1222.5585284113786,-1377.3822773015877,-1224.6308311816658,127.16992766040708
64,-914.635355383878,-816.5255598581163,-1072.5763274380931,-1529.0135551127564,-859.8324754554067,-1038.51665464965,260.1161006332404
65,-867.5687428745074,-1223.696034205071,-1069.2249395268434,-1166.731479244341,-750.6051429681522,-1015.565267763783,179.53040907743758
66,-866.0120445667102,-861.2323415231094,-1235.555389053221,-1122.907136769099,-1226.4128945781113,-1062.4239612980502,167.08128855840266
67,-1117.9048171304557,-813.6162557414394,-917.2585570502778,-1272.1104014036957,-659.5580181594675,-956.0896098970674,217.1592936829737
68,-754.9269634651997,-1062.7143988704486,-964.0811457341589,-1378.5404009206873,-1276.7344232877738,-1087.3994664556537,222.24558291754047
69,-1116.808438230255,-1073.4389539950876,-1232.825426143029,-1730.7654861332512,-1064.640825906149,-1243.6958260815543,250.80012923198703
70,-1075.4627144160715,-1118.2670757309393,-707.3228028579932,-1114.4066884022955,-1219.337646928671,-1046.959385667194,176.35965434082436
71,-1070.3654032716615,-1531.9114431239193,-1060.9745773724376,-1320.7690884631445,-707.6527706005808,-1138.3346565663487,277.2278113767976
72,-1022.9110568272355,-866.8157909145048,-1226.563968054584,-1066.1135762570527,-860.0934072561579,-1008.4995598619068,136.5121450749097
73,-975.7246450836018,-1284.1741219353567,-1288.9824633551677,-1062.9651014412143,-967.7416515197824,-1115.9175966670246,143.30097523865464
74,-1017.7282847525425,-1011.9953695701905,-720.2211672714491,-1167.257974680204,-760.2625610132852,-935.4930714575343,169.33867060447932
75,-758.764217265725,-1327.26285583897,-1184.9973070275444,-1372.6863340686123,-1324.971209675143,-1193.736384775199,226.4297418985181
76,-1232.7437731735515,-1119.4800078646106,-1397.5309277271738,-1227.778139599509,-604.7523116012694,-1116.4570319932227,270.83884111796715
